size,scale,cond_input,cond_A_actual,cond_B_actual,fro_norm_A,fro_norm_B,max_A,max_B,eig_error,eig_error_relative,log_cond_A
100,0.01,100.0,99.99999999999949,100.00000000000024,3.3549239136984723,3.3549239136984723,0.3163181541306657,0.32576698010076344,0.0012951266222208206,1.4381108028530313e-05,1.9999999999999978
100,0.01,100.0,99.99999999999984,100.0,3.354923913698472,3.354923913698473,0.3297299349229006,0.3374681500300137,0.002307878617198294,2.5153155417433664e-05,1.9999999999999993
100,0.01,100.0,99.99999999999964,99.99999999999999,3.3549239136984723,3.3549239136984723,0.32077946406671254,0.3051064427974957,0.004122477561754614,4.422882177655e-05,1.9999999999999984
100,0.01,100.0,100.0000000000002,100.00000000000006,3.354923913698473,3.3549239136984728,0.29975706144392106,0.29259269993314585,0.0022569195484076518,2.4160446222793242e-05,2.000000000000001
100,0.01,100.0,99.99999999999993,99.99999999999959,3.354923913698473,3.354923913698474,0.31361064402349387,0.33583495978392597,0.0033702348550500873,3.6780285152024216e-05,1.9999999999999998
100,0.01,100.0,100.0,100.00000000000001,3.3549239136984723,3.354923913698473,0.31253031013181537,0.3429931272262332,0.0016868407492122252,1.79554272144251e-05,2.0
100,0.01,100.0,100.00000000000014,100.00000000000021,3.354923913698473,3.3549239136984736,0.3146377463042696,0.2968961339020221,0.0022293880162201356,2.3549636244062966e-05,2.0000000000000004
100,0.01,100.0,99.99999999999929,100.00000000000003,3.354923913698472,3.354923913698472,0.3300142212543464,0.31466026594986046,0.002187930137799802,2.46967176431282e-05,1.999999999999997
100,0.01,100.0,100.00000000000004,100.00000000000031,3.354923913698473,3.354923913698473,0.3472816051813773,0.3304132972942432,0.0019565173689185035,2.152801829916854e-05,2.0
100,0.01,100.0,100.00000000000014,99.99999999999974,3.3549239136984723,3.3549239136984723,0.36679583577035935,0.31136973774687127,0.0028809303976754814,3.0165859126337512e-05,2.0000000000000004
100,1.0,100.0,99.9999999999998,100.00000000000023,335.4923913698472,335.49239136984727,31.631815413066573,32.57669801007634,1.9645454593693305e-05,2.1814346175436736e-07,1.9999999999999991
100,1.0,100.0,100.00000000000031,100.00000000000004,335.4923913698472,335.4923913698473,32.97299349229006,33.746815003001366,2.6054506411834272e-05,2.8396339574261135e-07,2.0000000000000013
100,1.0,100.0,100.00000000000023,99.99999999999974,335.49239136984727,335.4923913698473,32.07794640667125,30.51064427974957,2.3631112792516336e-05,2.535311012431336e-07,2.000000000000001
100,1.0,100.0,100.00000000000023,100.00000000000018,335.49239136984727,335.4923913698472,29.975706144392106,29.259269993314586,2.0417918103035824e-05,2.1857492113878888e-07,2.000000000000001
100,1.0,100.0,99.99999999999997,100.0,335.49239136984727,335.4923913698473,31.36106440234939,33.5834959783926,3.1062344234269326e-05,3.389917698806133e-07,1.9999999999999998
100,1.0,100.0,99.99999999999989,99.99999999999984,335.4923913698472,335.49239136984727,31.253031013181534,34.29931272262332,2.0448036757102084e-05,2.1765731936550657e-07,1.9999999999999996
100,1.0,100.0,99.99999999999987,99.99999999999973,335.4923913698473,335.4923913698473,31.46377463042696,29.689613390202208,2.6730815499258572e-05,2.823649256812644e-07,1.9999999999999993
100,1.0,100.0,99.9999999999994,100.00000000000021,335.4923913698472,335.4923913698472,33.00142212543464,31.466026594986047,1.8155022389779268e-05,2.04928600789755e-07,1.9999999999999973
100,1.0,100.0,99.99999999999982,100.00000000000027,335.49239136984727,335.49239136984727,34.72816051813773,33.04132972942432,2.0835325501042088e-05,2.292559605047138e-07,1.9999999999999991
100,1.0,100.0,99.99999999999996,99.99999999999987,335.49239136984727,335.49239136984727,36.679583577035935,31.136973774687128,2.542421532564756e-05,2.662137546016294e-07,1.9999999999999998
100,100.0,100.0,99.99999999999977,100.00000000000024,33549.23913698472,33549.239136984725,3163.1815413066574,3257.6698010076343,2.512368458460825e-07,2.7897382069594264e-09,1.9999999999999991
100,100.0,100.0,99.9999999999999,100.0000000000003,33549.23913698472,33549.239136984725,3297.2993492290057,3374.6815003001366,2.2723879144511396e-07,2.4766348609042326e-09,1.9999999999999996
100,100.0,100.0,99.99999999999989,99.99999999999972,33549.239136984725,33549.239136984725,3207.7946406671253,3051.064427974957,2.16480720120373e-07,2.3225565318026825e-09,1.9999999999999996
100,100.0,100.0,100.00000000000001,99.9999999999998,33549.23913698473,33549.239136984725,2997.5706144392107,2925.926999331459,3.053441475341095e-07,3.2687256668707783e-09,2.0
100,100.0,100.0,100.00000000000013,100.00000000000038,33549.23913698473,33549.23913698474,3136.106440234939,3358.34959783926,3.4333351276444514e-07,3.746891550539959e-09,2.0000000000000004
100,100.0,100.0,99.99999999999999,99.99999999999983,33549.239136984725,33549.23913698474,3125.3031013181535,3429.931272262332,3.959911117567223e-07,4.215092377883124e-09,2.0
100,100.0,100.0,99.99999999999996,99.99999999999987,33549.23913698473,33549.23913698473,3146.377463042696,2968.9613390202207,2.156491935401626e-07,2.277961497616171e-09,1.9999999999999998
100,100.0,100.0,99.9999999999994,100.00000000000031,33549.23913698472,33549.239136984725,3300.1422125434638,3146.6026594986047,2.437169946498638e-07,2.7510063953651793e-09,1.9999999999999973
100,100.0,100.0,99.99999999999984,100.00000000000028,33549.239136984725,33549.239136984725,3472.816051813773,3304.132972942432,1.96561177086984e-07,2.16280861312965e-09,1.9999999999999993
100,100.0,100.0,100.00000000000024,100.00000000000006,33549.239136984725,33549.239136984725,3667.9583577035933,3113.6973774687126,3.914184942698524e-07,4.098493725191881e-09,2.000000000000001
100,0.01,10000.0,9999.999999999174,10000.000000001726,242.69097322548592,242.69097322548595,19.95994288486664,20.28271757178464,0.13056808965305994,3.672654377866937e-05,3.999999999999964
100,0.01,10000.0,10000.000000000635,9999.999999999667,242.69097322548592,242.69097322548603,21.9229875313695,22.479575307330865,0.16855020487394773,4.5654675013992835e-05,4.0000000000000275
100,0.01,10000.0,10000.000000000211,10000.000000000142,242.690973225486,242.69097322548592,21.234571026103136,19.267631365250317,0.14790990209003482,3.860485881228291e-05,4.000000000000009
100,0.01,10000.0,9999.999999999389,10000.000000001126,242.69097322548598,242.69097322548592,18.58725623933869,18.263093661850824,0.0879930279707891,2.335568582624087e-05,3.9999999999999734
100,0.01,10000.0,10000.000000000817,10000.00000000075,242.69097322548595,242.690973225486,21.33866663150812,23.6346329941152,0.14501837443930038,4.010076652506025e-05,4.0000000000000355
100,0.01,10000.0,9999.999999998265,9999.999999999654,242.69097322548595,242.690973225486,19.43210727068719,24.564936845985034,0.09437084094517727,2.6440420270003783e-05,3.9999999999999245
